route_code,cyclenumber,unlockedat,unlockedattime,lockedat,lockedattime,startstationname,endstationname,rfidnumber,length,DurationMinutes,CycleType,costs,Membership
1564002007662,2519,2019-07-25,00:00:07,2019-07-25,00:06:44,Vabadussild,Rüütli,Mobile App,0.6,6.61,Pedelec,0.0,3 month free membership
1564002030172,2128,2019-07-25,00:00:30,2019-07-25,00:56:34,Tarmeko,Karete,Mobile App,5.49,56.07,Pedelec,0.0,3 month free membership
1564002049079,2098,2019-07-25,00:00:49,2019-07-25,00:20:18,Aparaaditehas,Eeden,Mobile App,3.19,19.49,Pedelec,0.0,3 month free membership
1564002050905,2199,2019-07-25,00:00:50,2019-07-25,00:20:23,Aparaaditehas,Eeden,Mobile App,3.28,19.54,Pedelec,0.0,3 month free membership
1564002086590,2373,2019-07-25,00:01:26,2019-07-25,00:09:46,Kaunase puiestee,Põhja puiestee,Mobile App,1.86,8.33,Pedelec,0.0,1 month free membership
1564002097753,2177,2019-07-25,00:01:37,2019-07-25,00:25:07,Aleksandri,Sõpruse sild,Mobile App,1.28,23.5,Pedelec,0.0,3 month free membership
1564002106006,2081,2019-07-25,00:01:46,2019-07-25,00:42:53,Soola,Annelinna kiir,Mobile App,6.92,41.12,Pedelec,0.0,Free Membership (with bus card)
1564002118440,2427,2019-07-25,00:01:58,2019-07-25,00:06:51,Orava,J. Hurda,Mobile App,1.9,4.89,Pedelec,0.0,1 Year Membership
1564002179217,2428,2019-07-25,00:02:59,2019-07-25,00:16:53,Uueturu,Viie tee rist,Mobile App,3.31,13.9,Pedelec,0.0,1 YEAR MEMBERSHIP
1564002215324,2061,2019-07-25,00:03:35,2019-07-25,00:08:21,Ülejõe park,Näituse,RFID Card,1.29,4.76,Pedelec,0.0,3-Month Free Membership
1564002256685,2431,2019-07-25,00:04:16,2019-07-25,00:13:17,Põhja puiestee,Annelinna kiir,Mobile App,2.29,9.01,Pedelec,0.0,3 month free membership
1564002287343,2057,2019-07-25,00:04:47,2019-07-25,00:28:19,Annelinna kiir,Annelinna kiir,Mobile App,0.34,23.54,Pedelec,0.0,3 month free membership
1564002309556,2345,2019-07-25,00:05:09,2019-07-25,00:15:31,Ränilinn,Viie tee rist,RFID Card,2.1,10.36,Pedelec,0.0,Free Membership (with bus card)
1564002337584,2330,2019-07-25,00:05:37,2019-07-25,00:21:39,Aparaaditehas,Aparaaditehas,Mobile App,2.22,16.03,Pedelec,0.0,3-Month Free Membership
1564002398393,2309,2019-07-25,00:06:38,2019-07-25,00:56:59,Tamme kool,Tamme staadion,Mobile App,1.7,50.35,Pedelec,0.0,3 month free membership
1564002400144,2516,2019-07-25,00:06:40,2019-07-25,00:57:15,Tamme kool,Tamme staadion,Mobile App,1.7,50.59,Pedelec,0.0,3 month free membership
1564002532572,2131,2019-07-25,00:08:52,2019-07-25,00:30:02,Tarmeko,Vahi,Mobile App,6.15,21.16,Pedelec,0.0,3 month free membership
1564002610384,2784,2019-07-25,00:10:10,2019-07-25,00:21:02,Papli,Annelinna kiir,Mobile App,2.52,10.87,Bike,0.0,Free Membership (with bus card)
1564002623277,2519,2019-07-25,00:10:23,2019-07-25,00:23:30,Rüütli,Rüütli,Mobile App,1.03,13.12,Pedelec,0.0,1 DAY MEMBERSHIP
1564002632034,2527,2019-07-25,00:10:32,2019-07-25,00:19:12,Annelinna kiir,Kivilinna,RFID Card,0.0,8.68,Pedelec,0.0,Free Membership (with bus card)
1564002638077,2294,2019-07-25,00:10:38,2019-07-25,00:20:24,Uueturu,Karete,Mobile App,3.33,9.78,Pedelec,0.0,Free Membership (with bus card)
1564002639743,2280,2019-07-25,00:10:39,2019-07-25,00:39:58,Aura veekeskus,Ihaste,Mobile App,8.01,29.31,Pedelec,0.0,3 month free membership
1564002656921,2320,2019-07-25,00:10:56,2019-07-25,00:18:27,Sõpruse sild,Pirogovi plats,Mobile App,1.96,7.51,Pedelec,0.0,3 month free membership
1564002694843,2458,2019-07-25,00:11:34,2019-07-25,00:18:52,Annelinna kiir,Kivilinna,RFID Card,1.14,7.3,Pedelec,0.0,Free Membership (with bus card)
1564002770882,2373,2019-07-25,00:12:50,2019-07-25,00:58:03,Põhja puiestee,Kaunase puiestee,Mobile App,5.46,45.21,Pedelec,0.0,3 month free membership
1564002772094,2283,2019-07-25,00:12:52,2019-07-25,00:25:41,Ülejõe park,Vabadussild,Mobile App,1.23,12.82,Pedelec,0.0,3-Month Free Membership
1564002792376,2690,2019-07-25,00:13:12,2019-07-25,00:26:42,Sõpruse sild,Uueturu,Mobile App,1.71,13.51,Bike,0.0,3-Month Free Membership
1564002799994,2407,2019-07-25,00:13:19,2019-07-25,00:28:53,Annelinna kiir,Ihaste,Mobile App,4.12,15.56,Pedelec,0.0,1 YEAR MEMBERSHIP
