route_code,cyclenumber,unlockedat,unlockedattime,lockedat,lockedattime,startstationname,endstationname,rfidnumber,length,DurationMinutes,CycleType,costs,Membership
1564088406820,2195,2019-07-26,00:00:06,2019-07-26,00:16:42,Eeden,Sõbra,Mobile App,2.88,16.6,Pedelec,0.0,3-Month Free Membership
1564088452772,2134,2019-07-26,00:00:52,2019-07-26,00:02:27,Anne saun,Anne saun,RFID Card,0.02,1.58,Pedelec,0.0,Free Membership (with bus card)
1564088470182,2309,2019-07-26,00:01:10,2019-07-26,00:04:40,Sõbra,Rahu,Mobile App,0.91,3.51,Pedelec,0.0,3-Month Free Membership
1564088491817,2404,2019-07-26,00:01:31,2019-07-26,00:16:27,Tarmeko,Anne saun,RFID Card,2.86,14.94,Pedelec,0.0,Free Membership (with bus card)
1564088495578,2456,2019-07-26,00:01:35,2019-07-26,00:17:10,Tarmeko,Anne saun,RFID Card,2.83,15.58,Pedelec,0.0,Free Membership (with bus card)
1564088502415,2267,2019-07-26,00:01:42,2019-07-26,00:16:23,Eeden,Sõbra,Mobile App,2.9,14.68,Pedelec,0.0,3-Month Free Membership
1564088560587,2066,2019-07-26,00:02:40,2019-07-26,00:27:29,Anne saun,Annelinna keskus,RFID Card,2.2,24.82,Pedelec,0.0,Free Membership (with bus card)
1564088606175,2232,2019-07-26,00:03:26,2019-07-26,00:33:35,Raatuse,Vanemuise park,Mobile App,2.51,30.15,Pedelec,0.0,3 month free membership
1564088656719,2124,2019-07-26,00:04:16,2019-07-26,00:20:11,Uueturu,Rahu,Mobile App,2.77,15.92,Pedelec,0.0,3-Month Free Membership
1564088716329,2352,2019-07-26,00:05:16,2019-07-26,00:56:03,Rüütli,Aleksandri,RFID Card,3.16,50.78,Pedelec,0.0,Free Membership (with bus card)
1564088776877,2372,2019-07-26,00:06:16,2019-07-26,00:16:43,Pirogovi plats,Torni,Mobile App,1.88,10.45,Pedelec,0.0,3-Month Free Membership
1564088845964,2411,2019-07-26,00:07:25,2019-07-26,00:40:27,Uueturu,Anne saun,Mobile App,3.05,33.03,Pedelec,0.0,3-Month Free Membership
1564088851120,2272,2019-07-26,00:07:31,2019-07-26,00:27:14,Lõunakeskus,Roosi,RFID Card,4.59,19.72,Pedelec,0.0,Free Membership (with bus card)
1564088857393,2260,2019-07-26,00:07:37,2019-07-26,00:27:26,Lõunakeskus,Roosi,RFID Card,4.63,19.82,Pedelec,0.0,1-month Free Membership
1564088867149,2274,2019-07-26,00:07:47,2019-07-26,00:21:10,Karete,Riiamäe,Mobile App,2.81,13.38,Pedelec,0.0,3 month free membership
1564088897823,2216,2019-07-26,00:08:17,2019-07-26,00:50:07,Näituse,Näituse,Mobile App,3.75,41.83,Pedelec,0.0,3 month free membership
1564088904636,2101,2019-07-26,00:08:24,2019-07-26,00:50:09,Näituse,Näituse,Mobile App,3.84,41.74,Pedelec,0.0,Free Membership (with bus card)
1564089014942,2787,2019-07-26,00:10:14,2019-07-26,00:16:09,Eeden,Annelinna keskus,Mobile App,1.1,5.92,Bike,0.0,Free Membership (with bus card)
1564089053943,2148,2019-07-26,00:10:53,2019-07-26,00:50:18,Näituse,Näituse,Mobile App,3.8,39.41,Pedelec,0.0,3-Month Free Membership
1564089071017,2541,2019-07-26,00:11:11,2019-07-26,00:19:51,Annelinna keskus,Annelinna keskus,Mobile App,0.79,8.67,Pedelec,0.0,1 month free membership
1564089155999,2386,2019-07-26,00:12:35,2019-07-26,00:17:09,Tarmeko,Soola,Mobile App,1.66,4.55,Pedelec,0.0,3-Month Free Membership
1564089252938,2684,2019-07-26,00:14:12,2019-07-26,00:17:36,Annelinna keskus,Annelinna kiir,Mobile App,0.55,3.39,Bike,0.0,1-month Free Membership
1564089257357,2513,2019-07-26,00:14:17,2019-07-26,00:29:01,Sõbra,Aparaaditehas,RFID Card,1.04,14.74,Bike,0.0,Free Membership (with bus card)
1564089260120,2062,2019-07-26,00:14:20,2019-07-26,00:50:12,Näituse,Näituse,Mobile App,3.82,35.87,Pedelec,0.0,3 month free membership
1564089274052,2482,2019-07-26,00:14:34,2019-07-26,00:37:27,Sõbra,Raja,Mobile App,2.94,22.89,Pedelec,0.0,Free Membership (with bus card)
1564089299543,2515,2019-07-26,00:14:59,2019-07-26,00:37:29,Sõbra,Annelinna kiir,Mobile App,4.8,22.5,Pedelec,0.0,3-Month Free Membership
1564089301656,2246,2019-07-26,00:15:01,2019-07-26,00:33:07,Tarmeko,Annelinna gümnaasium,RFID Card,3.45,18.09,Pedelec,0.0,Free Membership (with bus card)
1564089305532,2466,2019-07-26,00:15:05,2019-07-26,00:28:00,Viie tee rist,Kopli,RFID Card,1.83,12.91,Pedelec,0.0,Free Membership (with bus card)
1564089315648,2271,2019-07-26,00:15:15,2019-07-26,00:34:36,Roosi,Ihaste,Mobile App,5.84,19.35,Pedelec,0.0,Free Membership (with bus card)
1564089332589,2477,2019-07-26,00:15:32,2019-07-26,01:01:00,Vahi,Põllu,Mobile App,3.17,45.46,Pedelec,0.0,3 month free membership
1564089337401,2701,2019-07-26,00:15:37,2019-07-26,00:18:49,Tarmeko,Sõpruse sild,RFID Card,0.62,3.2,Bike,0.0,Free Membership (with bus card)
1564089361559,2125,2019-07-26,00:16:01,2019-07-26,00:35:02,Roosi,Ihaste,Mobile App,5.97,19.01,Pedelec,0.0,Free Membership (with bus card)
1564089404767,2426,2019-07-26,00:16:44,2019-07-26,01:00:51,Vahi,Põllu,RFID Card,3.18,44.11,Pedelec,0.0,Free Membership (with bus card)
1564089419377,2267,2019-07-26,00:16:59,2019-07-26,00:27:32,Sõbra,Eeden,RFID Card,2.4,10.55,Pedelec,0.0,3-Month Free Membership
1564089436015,2529,2019-07-26,00:17:16,2019-07-26,00:34:23,Roosi,Ihaste,Mobile App,5.85,17.13,Pedelec,0.0,Free Membership (with bus card)
1564089481247,2386,2019-07-26,00:18:01,2019-07-26,00:28:41,Soola,Annelinna keskus,RFID Card,2.73,10.67,Pedelec,0.0,3-Month Free Membership
1564089506964,2395,2019-07-26,00:18:26,2019-07-26,00:57:22,Vahi,Orava,Mobile App,3.03,38.93,Pedelec,0.0,3 month free membership
1564089583757,2344,2019-07-26,00:19:43,2019-07-26,00:33:04,Sõpruse sild,Annelinna gümnaasium,RFID Card,2.9,13.35,Pedelec,0.0,Free Membership (with bus card)
1564089661954,2469,2019-07-26,00:21:01,2019-07-26,00:29:25,Sõbra,Veeriku,Mobile App,2.27,8.4,Pedelec,0.0,3 month free membership
1564089736650,2274,2019-07-26,00:22:16,2019-07-26,00:29:20,Riiamäe,Rahu,RFID Card,1.95,7.06,Pedelec,0.0,Free Membership (with bus card)
1564089753818,2185,2019-07-26,00:22:33,2019-07-26,01:02:40,Viie tee rist,Eeden,Mobile App,4.77,40.11,Pedelec,0.0,Free Membership (with bus card)
1564089783826,2408,2019-07-26,00:23:03,2019-07-26,00:38:06,Vabadussild,Kvissentali,Mobile App,3.47,15.05,Pedelec,0.0,3 month free membership
1564089846668,2414,2019-07-26,00:24:06,2019-07-26,01:02:32,Viie tee rist,Eeden,Mobile App,4.8,38.44,Pedelec,0.0,3 month free membership
1564089871918,2236,2019-07-26,00:24:31,2019-07-26,00:34:29,Turusild,Mõisavahe,Mobile App,2.89,9.96,Pedelec,0.0,Free Membership (with bus card)
